name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710071040,3.269,3.315,1
Greenville Camera v5 sn191 (took pic),s.bs,1710070693,3.269,3.315,1
Greenville Camera v5 sn191 (took pic),s.bs,1710070236,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710070012,3.269,3.307,0
Greenville Camera v5 sn191 (took pic),s.bs,1710069657,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710069291,3.316,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710068923,3.316,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710068466,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710068344,3.316,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710068088,3.292,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710067824,3.292,3.305,0
Greenville Camera v5 sn191 (took pic),s.bs,1710067424,3.25,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710067162,3.269,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710066764,3.269,3.307,0
Greenville Camera v5 sn191 (took pic),s.bs,1710066555,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710066272,3.292,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710065922,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710065465,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710065270,3.292,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710065084,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710064719,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710064465,3.316,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710064186,3.316,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710063856,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710063530,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710063187,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710062958,3.335,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710062454,3.292,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710062401,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710061902,3.269,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710061762,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710061399,3.292,3.305,0
Greenville Camera v5 sn191 (took pic),s.bs,1710061042,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710060870,3.292,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710060611,3.316,3.308,0
Greenville Camera v5 sn191 (took pic),s.bs,1710060234,3.292,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710059850,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710059529,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710059356,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710058993,3.316,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710058704,3.316,3.317,0
